Oi	Olá, em que podemos ajudar?	
Bom dia	Bom dia, em que podemos ajudar?	
Boa tarde	Boa tarde, em que podemos ajudar?	
Boa noite	Boa noite, em que podemos ajudar?	
Tudo bem?	Tudo bem, em que podemos ajudar?	
Qual o endereço?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o endereço da escola?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o endereço da CTI?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde ficam as unidades?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde fica a escola?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde fica?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais unidades tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais filiais tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais as unidades da escola?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais unidades a escola tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais filiais a escola tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais os endereços das unidades de São Paulo?	Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg	
Qual o endereço de São Paulo?	Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg	
Quais os endereços das unidades de Taboão da Serra?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg	
Qual o endereço de Taboão da Serra?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg	
Quais os endereços das unidades do Embu das Artes?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Quais os endereços das unidades do Embu?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Embu das Artes?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Embu?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde é a do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço da unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde é a unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde no Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone da unidade da Unidade 1?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone da unidade do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Quem eu procuro no Pq. Pinheiros?	Procure pela Beni.	
Qual o endereço da unidade do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
